Drifter ID,Date and time,Longitude,Latitude
46926,"Aug 1, 2014 12:00 AM",-118.087,24.777
46926,"Aug 2, 2014 12:00 AM",-118.178,24.785
46926,"Aug 3, 2014 12:00 AM",-118.257,24.813
46926,"Aug 4, 2014 12:00 AM",-118.322,24.852
46926,"Aug 5, 2014 12:00 AM",-118.397,24.893
46926,"Aug 6, 2014 12:00 AM",-118.456,24.939
46926,"Aug 7, 2014 12:00 AM",-118.512,24.980
46926,"Aug 8, 2014 12:00 AM",-118.555,24.999
46926,"Aug 9, 2014 12:00 AM",-118.585,25.049
46926,"Aug 10, 2014 12:00 AM",-118.602,25.108
46926,"Aug 11, 2014 12:00 AM",-118.619,25.159
46926,"Aug 12, 2014 12:00 AM",-118.602,25.193
46926,"Aug 13, 2014 12:00 AM",-118.635,25.213
46926,"Aug 14, 2014 12:00 AM",-118.633,25.250
46926,"Aug 15, 2014 12:00 AM",-118.645,25.303
46926,"Aug 16, 2014 12:00 AM",-118.657,25.365
46926,"Aug 17, 2014 12:00 AM",-118.697,25.419
46926,"Aug 18, 2014 12:00 AM",-118.73,25.460
46926,"Aug 19, 2014 12:00 AM",-118.76,25.505
46926,"Aug 20, 2014 12:00 AM",-118.759,25.577
46926,"Aug 21, 2014 12:00 AM",-118.777,25.674
46926,"Aug 22, 2014 12:00 AM",-118.823,25.817
46926,"Aug 23, 2014 12:00 AM",-118.802,26.006
46926,"Aug 24, 2014 12:00 AM",-118.758,26.134
46926,"Aug 25, 2014 12:00 AM",-118.742,26.223
46926,"Aug 26, 2014 12:00 AM",-118.717,26.305
46926,"Aug 27, 2014 12:00 AM",-118.734,26.415
46926,"Aug 28, 2014 12:00 AM",-118.625,26.518
46926,"Aug 29, 2014 12:00 AM",-118.514,26.569
46926,"Aug 30, 2014 12:00 AM",-118.415,26.564
46926,"Aug 31, 2014 1:00 AM",-118.387,26.535
